"URN","Q1","Q2","Q3_1","Q3_2","Q3_3","Q3_4","Q3_5","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q13_1","Q13_2","Q13_3","Q13_4","Q13_5","Q13_6","Q13_7","Q14","Q14_1_a","Q14_2_a","Q14_3_a","Q15"
"356806-356797-33882794","1","2","0","0","1","0","1","2","25","sfagfarg","2",,"2","18/04/2018","15:42","26/04/2018 00:00",,"7","6","5","4","3","2","1",,"1","1","1","2"
"356806-356797-33883022","1","4","1","1","1","0","0","4","150","ispihfahaioe waefrAWER AEWRAWER WER","1","3",,"02/04/2018","00:00","17/04/2018 00:00",,"4","3","2","1","5","6","7",,"4","4","1","3"
"356806-356797-33883179","1","2","1","1","1","0","1","4","05","once upon a time","2",,"2","20/04/2018","00:15","09/04/2018 00:00",,"7","6","5","4","1","2","3",,"2","4","1","3"
"356806-356797-33883217","1","3","1","1","1","0","0","2","35","whales are ocol","1","3",,"09/04/2018","03:16","11/04/2018 00:00",,"4","3","2","1","7","6","5",,"4","4","1","1"
"356806-356797-33883264","1","1","1","1","1","1","1","3","2","scooby doo where are you","1","3",,"09/04/2003","00:00","10/04/2018 00:00",,"1","2","3","4","5","6","7",,"3","4","1","1"
"356806-356797-33883298","1","2","0","0","1","0","0","3",,,"2",,"2","19/04/2018","00:12","18/04/2018 00:00",,"7","6","5","4","2","3","1",,"4","4","1","2"
"356806-356797-33883360","1","4","0","1","0","1","0","4",,,"1",,,"11/04/2018",,,,"7","6","5","4","3","2","1",,"4","4","1","3"
"356806-356797-33883386","1","3","0","0","0","1","0",,,,"1",,,,,,,,,,,,,,,,,"1","3"
"356806-356797-33883404","1","3","1","0","0","0","0","3","56","everyone should watch bob's burgers","1","1",,"10/04/2018","00:00","25/04/2018 00:00",,"4","3","2","1","5","6","7",,"4","4","1","2"
"356806-356797-33883443","1","3","1","1","1","1","1","4","33","cats are cool","1","1",,"02/04/2018","01:23","28/04/2004 00:00",,"4","3","5","6","7","1","2",,"3","3","1","2"
"356806-356797-33883484","1","4","1","1","1","1","1","3","12","i'm hungry its lunch time","2",,"1","16/04/2018","15:13","15/04/2004 15:15",,"1","2","3","7","6","5","4",,"4","4","1","2"
"356806-356797-33884586","1","3","1","1","1","0","1","2","25","there are monkeys in the zoo","1","3",,"16/07/2004","12:15","04/04/2018 00:00",,"3","4","5","6","7","1","2",,"4","3","1","1"
"356806-356797-33884833","1","4","0","1","1","0","0","4","1","everyone should listen to the 'dirty computer' album","2",,"3","02/04/2018","14:45","02/04/2018 00:00",,"4","3","5","2","7","1","6",,"3","3","1","2"
